84,452,466,148,595,894,853,451.0,556.0,873.0,743.0,111.0,902.0,937.0,584.0,639.0,172.0,698.0,470.0,761.0,428.0,425.0,268.0,,
608,229,838,971,351,338,334,,,,,,,,,,,,,,,,,,
881,276,749,86,559,845,126,471.0,895.0,77.0,504.0,814.0,661.0,40.0,241.0,,,,,,,,,,
939,12,703,29,460,74,618,365.0,491.0,375.0,841.0,670.0,778.0,,,,,,,,,,,,
474,975,987,80,413,274,693,534.0,62.0,548.0,633.0,298.0,333.0,93.0,177.0,745.0,960.0,,,,,,,,
847,892,478,842,117,578,214,991.0,688.0,872.0,165.0,75.0,725.0,926.0,512.0,964.0,,,,,,,,,
903,505,18,787,683,249,519,295.0,788.0,403.0,498.0,728.0,985.0,603.0,,,,,,,,,,,
530,514,405,407,317,400,935,109.0,136.0,883.0,806.0,243.0,839.0,809.0,89.0,640.0,299.0,,,,,,,,
830,353,721,493,359,140,769,212.0,802.0,933.0,755.0,270.0,315.0,533.0,570.0,615.0,69.0,982.0,560.0,304.0,,,,,
934,801,379,1,450,631,38,770.0,313.0,856.0,227.0,475.0,605.0,364.0,947.0,949.0,577.0,216.0,,,,,,,
262,114,692,526,394,157,266,501.0,817.0,91.0,422.0,9.0,336.0,420.0,135.0,713.0,,,,,,,,,
318,361,999,5,922,800,684,784.0,346.0,104.0,647.0,656.0,494.0,290.0,,,,,,,,,,,
0,679,508,273,958,437,118,727.0,550.0,798.0,735.0,,,,,,,,,,,,,,
53,785,151,443,341,970,384,776.0,676.0,555.0,369.0,204.0,39.0,248.0,176.0,186.0,682.0,984.0,722.0,678.0,48.0,,,,
969,880,599,553,259,766,305,215.0,288.0,198.0,687.0,650.0,996.0,,,,,,,,,,,,
463,411,557,904,473,412,532,472.0,846.0,424.0,509.0,99.0,820.0,366.0,59.0,200.0,583.0,905.0,705.0,591.0,173.0,244.0,,,
919,47,924,558,666,564,427,421.0,202.0,339.0,307.0,629.0,197.0,,,,,,,,,,,,
913,209,191,282,945,260,789,325.0,408.0,900.0,622.0,461.0,409.0,738.0,807.0,465.0,523.0,756.0,410.0,521.0,381.0,,,,
604,597,363,607,33,279,611,355.0,571.0,911.0,995.0,16.0,757.0,674.0,506.0,,,,,,,,,,
438,529,166,100,865,155,431,862.0,181.0,497.0,711.0,92.0,816.0,764.0,520.0,941.0,994.0,,,,,,,,
765,952,78,464,993,751,836,218.0,58.0,482.0,144.0,120.0,237.0,469.0,849.0,940.0,,,,,,,,,
979,613,734,708,137,344,821,741.0,205.0,793.0,335.0,675.0,146.0,125.0,440.0,796.0,488.0,81.0,,,,,,,
321,998,340,44,163,536,42,668.0,385.0,232.0,435.0,356.0,147.0,,,,,,,,,,,,
681,236,24,936,625,649,32,71.0,162.0,423.0,180.0,63.0,36.0,795.0,,,,,,,,,,,
831,316,588,815,251,896,889,731.0,503.0,380.0,691.0,601.0,799.0,748.0,655.0,391.0,565.0,371.0,210.0,646.0,297.0,899.0,,,
291,877,134,85,543,430,477,906.0,187.0,94.0,278.0,130.0,600.0,740.0,368.0,416.0,192.0,780.0,,,,,,,
585,768,898,28,988,393,712,546.0,602.0,448.0,,,,,,,,,,,,,,,
891,161,810,978,775,37,319,986.0,511.0,701.0,667.0,716.0,,,,,,,,,,,,,
929,636,446,882,22,107,531,586.0,707.0,418.0,638.0,851.0,417.0,772.0,540.0,,,,,,,,,,
773,829,696,593,561,973,925,303.0,627.0,103.0,17.0,554.0,690.0,449.0,594.0,610.0,66.0,,,,,,,,
916,657,287,41,928,943,660,247.0,643.0,835.0,714.0,695.0,211.0,,,,,,,,,,,,
